country,year,type,value
Afghanistan,2019,both_suicide,4.1
Afghanistan,2019,male_suicide,4.6
Afghanistan,2019,female_suicide,3.6
Afghanistan,2018,both_suicide,4.1
Afghanistan,2018,male_suicide,4.6
Afghanistan,2018,female_suicide,3.5
Afghanistan,2017,both_suicide,4.1
Afghanistan,2017,male_suicide,4.6
Afghanistan,2017,female_suicide,3.4
Afghanistan,2016,both_suicide,4
Afghanistan,2016,male_suicide,4.4
Afghanistan,2016,female_suicide,3.6
Afghanistan,2015,both_suicide,4
Afghanistan,2015,male_suicide,4.3
Afghanistan,2015,female_suicide,3.6
Afghanistan,2014,both_suicide,3.9
Afghanistan,2014,male_suicide,4.2
Afghanistan,2014,female_suicide,3.6
Afghanistan,2013,both_suicide,4
Afghanistan,2013,male_suicide,4.3
Afghanistan,2013,female_suicide,3.7
Afghanistan,2012,both_suicide,4
Afghanistan,2012,male_suicide,4.3
Afghanistan,2012,female_suicide,3.7
Afghanistan,2011,both_suicide,4.1
Afghanistan,2011,male_suicide,4.5
Afghanistan,2011,female_suicide,3.8
Afghanistan,2010,both_suicide,4.3
Afghanistan,2010,male_suicide,4.6
Afghanistan,2010,female_suicide,3.9
Afghanistan,2009,both_suicide,4.4
Afghanistan,2009,male_suicide,4.8
Afghanistan,2009,female_suicide,4
Afghanistan,2008,both_suicide,4.6
Afghanistan,2008,male_suicide,5.1
Afghanistan,2008,female_suicide,4.2
Afghanistan,2007,both_suicide,4.8
Afghanistan,2007,male_suicide,5.3
Afghanistan,2007,female_suicide,4.3
Afghanistan,2006,both_suicide,4.9
Afghanistan,2006,male_suicide,5.4
Afghanistan,2006,female_suicide,4.4
Afghanistan,2005,both_suicide,5
Afghanistan,2005,male_suicide,5.4
Afghanistan,2005,female_suicide,4.5
Afghanistan,2004,both_suicide,5
Afghanistan,2004,male_suicide,5.4
Afghanistan,2004,female_suicide,4.6
Afghanistan,2003,both_suicide,5
Afghanistan,2003,male_suicide,5.3
Afghanistan,2003,female_suicide,4.6
Afghanistan,2002,both_suicide,5
Afghanistan,2002,male_suicide,5.4
Afghanistan,2002,female_suicide,4.6
Afghanistan,2001,both_suicide,5
Afghanistan,2001,male_suicide,5.2
Afghanistan,2001,female_suicide,4.8
Afghanistan,2000,both_suicide,4.9
Afghanistan,2000,male_suicide,5
Afghanistan,2000,female_suicide,4.8
Albania,2019,both_suicide,4.3
Albania,2019,male_suicide,5.9
Albania,2019,female_suicide,2.7
Albania,2018,both_suicide,4.5
Albania,2018,male_suicide,6.2
Albania,2018,female_suicide,2.8
Albania,2017,both_suicide,4.7
Albania,2017,male_suicide,6.3
Albania,2017,female_suicide,2.9
Albania,2016,both_suicide,4.7
Albania,2016,male_suicide,6.3
Albania,2016,female_suicide,3.1
Albania,2015,both_suicide,4.8
Albania,2015,male_suicide,6.3
Albania,2015,female_suicide,3.2
Albania,2014,both_suicide,5
Albania,2014,male_suicide,6.6
Albania,2014,female_suicide,3.2
Albania,2013,both_suicide,5.3
Albania,2013,male_suicide,6.9
Albania,2013,female_suicide,3.5
Albania,2012,both_suicide,5.2
Albania,2012,male_suicide,6.9
Albania,2012,female_suicide,3.4
Albania,2011,both_suicide,7.9
Albania,2011,male_suicide,7.5
Albania,2011,female_suicide,8.3
Albania,2010,both_suicide,7.8
Albania,2010,male_suicide,9.5
Albania,2010,female_suicide,6.1
Albania,2009,both_suicide,8.1
Albania,2009,male_suicide,10.2
Albania,2009,female_suicide,6
Albania,2008,both_suicide,8.2
Albania,2008,male_suicide,10.3
Albania,2008,female_suicide,6
Albania,2007,both_suicide,8.1
Albania,2007,male_suicide,10.3
Albania,2007,female_suicide,5.8
Albania,2006,both_suicide,7.8
Albania,2006,male_suicide,9.8
Albania,2006,female_suicide,5.8
Albania,2005,both_suicide,7.5
Albania,2005,male_suicide,9.7
Albania,2005,female_suicide,5.2
Albania,2004,both_suicide,4.8
Albania,2004,male_suicide,6.5
Albania,2004,female_suicide,3.1
Albania,2003,both_suicide,4.8
Albania,2003,male_suicide,6.4
Albania,2003,female_suicide,3.3
Albania,2002,both_suicide,4.6
Albania,2002,male_suicide,6.2
Albania,2002,female_suicide,3
Albania,2001,both_suicide,4.5
Albania,2001,male_suicide,6.1
Albania,2001,female_suicide,2.9
Albania,2000,both_suicide,4.9
Albania,2000,male_suicide,7
Albania,2000,female_suicide,2.8
Algeria,2019,both_suicide,2.5
Algeria,2019,male_suicide,3.1
Algeria,2019,female_suicide,1.8
Algeria,2018,both_suicide,2.5
Algeria,2018,male_suicide,3.1
Algeria,2018,female_suicide,1.9
Algeria,2017,both_suicide,2.5
Algeria,2017,male_suicide,3.1
Algeria,2017,female_suicide,1.9
Algeria,2016,both_suicide,2.6
Algeria,2016,male_suicide,3.2
Algeria,2016,female_suicide,1.9
Algeria,2015,both_suicide,2.7
Algeria,2015,male_suicide,3.4
Algeria,2015,female_suicide,2
Algeria,2014,both_suicide,2.8
Algeria,2014,male_suicide,3.5
Algeria,2014,female_suicide,2
Algeria,2013,both_suicide,2.9
Algeria,2013,male_suicide,3.6
Algeria,2013,female_suicide,2.1
Algeria,2012,both_suicide,2.9
Algeria,2012,male_suicide,3.7
Algeria,2012,female_suicide,2.1
Algeria,2011,both_suicide,3
Algeria,2011,male_suicide,3.7
Algeria,2011,female_suicide,2.2
Algeria,2010,both_suicide,3
Algeria,2010,male_suicide,3.8
Algeria,2010,female_suicide,2.2
Algeria,2009,both_suicide,3.2
Algeria,2009,male_suicide,4
Algeria,2009,female_suicide,2.3
Algeria,2008,both_suicide,3.4
Algeria,2008,male_suicide,4.3
Algeria,2008,female_suicide,2.5
Algeria,2007,both_suicide,3.5
Algeria,2007,male_suicide,4.4
Algeria,2007,female_suicide,2.6
Algeria,2006,both_suicide,3.7
Algeria,2006,male_suicide,4.7
Algeria,2006,female_suicide,2.7
