country,actual,continent,year,type,value,rank,direction,sex
Lesotho,Africa,Africa,2019,both_suicide,72.4,1,highest,All
Eswatini,Africa,Africa,2019,both_suicide,29.4,2,highest,All
South Africa,Africa,Africa,2019,both_suicide,23.5,3,highest,All
Botswana,Africa,Africa,2019,both_suicide,16.1,4,highest,All
Zimbabwe,Africa,Africa,2019,both_suicide,14.1,5,highest,All
Mozambique,Africa,Africa,2019,both_suicide,13.6,6,highest,All
Cabo Verde,Africa,Africa,2019,both_suicide,12.9,7,highest,All
Central African Rep.,Africa,Africa,2019,both_suicide,12.3,8,highest,All
Eritrea,Africa,Africa,2019,both_suicide,10.9,9,highest,All
Namibia,Africa,Africa,2019,both_suicide,9.7,10,highest,All
Sao Tome and Principe,Africa,Africa,2019,both_suicide,1.5,1,lowest,All
Algeria,Africa,Africa,2019,both_suicide,2.5,2,lowest,All
Mauritania,Africa,Africa,2019,both_suicide,3.1,3,lowest,All
Tunisia,Africa,Africa,2019,both_suicide,3.3,4,lowest,All
Nigeria,Africa,Africa,2019,both_suicide,3.5,5,lowest,All
Sudan,Africa,Africa,2019,both_suicide,3.8,6,lowest,All
South Sudan,Africa,Africa,2019,both_suicide,3.9,7,lowest,All
Mali,Africa,Africa,2019,both_suicide,4.1,8,lowest,All
Tanzania,Africa,Africa,2019,both_suicide,4.3,9,lowest,All
Nicaragua,Africa,Africa,2019,both_suicide,4.4,10,lowest,All
Lesotho,Africa,Africa,2019,male_suicide,116,1,highest,Male
Eswatini,Africa,Africa,2019,male_suicide,55.1,2,highest,Male
South Africa,Africa,Africa,2019,male_suicide,37.6,3,highest,Male
Botswana,Africa,Africa,2019,male_suicide,26.3,4,highest,Male
Mozambique,Africa,Africa,2019,male_suicide,22,5,highest,Male
Cabo Verde,Africa,Africa,2019,male_suicide,21.3,6,highest,Male
Zimbabwe,Africa,Africa,2019,male_suicide,20,7,highest,Male
Central African Rep.,Africa,Africa,2019,male_suicide,19.6,8,highest,Male
Namibia,Africa,Africa,2019,male_suicide,16.7,9,highest,Male
Eritrea,Africa,Africa,2019,male_suicide,16.6,10,highest,Male
Sao Tome and Principe,Africa,Africa,2019,male_suicide,2.2,1,lowest,Male
Algeria,Africa,Africa,2019,male_suicide,3.1,2,lowest,Male
Mauritania,Africa,Africa,2019,male_suicide,4,3,lowest,Male
Tunisia,Africa,Africa,2019,male_suicide,4.7,4,lowest,Male
Sudan,Africa,Africa,2019,male_suicide,4.9,5,lowest,Male
Nigeria,Africa,Africa,2019,male_suicide,5,6,lowest,Male
Mali,Africa,Africa,2019,male_suicide,5.3,7,lowest,Male
Liberia,Africa,Africa,2019,male_suicide,5.6,8,lowest,Male
South Sudan,Africa,Africa,2019,male_suicide,5.7,9,lowest,Male
Libya,Africa,Africa,2019,male_suicide,6,10,lowest,Male
Lesotho,Africa,Africa,2019,female_suicide,30.1,1,highest,Female
South Africa,Africa,Africa,2019,female_suicide,9.8,2,highest,Female
Zimbabwe,Africa,Africa,2019,female_suicide,8.8,3,highest,Female
Botswana,Africa,Africa,2019,female_suicide,6.4,4,highest,Female
Djibouti,Africa,Africa,2019,female_suicide,6.4,5,highest,Female
Equatorial Guinea,Africa,Africa,2019,female_suicide,6,6,highest,Female
Mozambique,Africa,Africa,2019,female_suicide,5.7,7,highest,Female
Central African Rep.,Africa,Africa,2019,female_suicide,5.2,8,highest,Female
Eritrea,Africa,Africa,2019,female_suicide,5.2,9,highest,Female
Sierra Leone,Africa,Africa,2019,female_suicide,5.1,10,highest,Female
Sao Tome and Principe,Africa,Africa,2019,female_suicide,0.8,1,lowest,Female
Ghana,Africa,Africa,2019,female_suicide,1.2,2,lowest,Female
Seychelles,Africa,Africa,2019,female_suicide,1.4,3,lowest,Female
Malawi,Africa,Africa,2019,female_suicide,1.7,4,lowest,Female
Uganda,Africa,Africa,2019,female_suicide,1.7,5,lowest,Female
Algeria,Africa,Africa,2019,female_suicide,1.8,6,lowest,Female
Dominican Republic,Africa,Africa,2019,female_suicide,1.8,7,lowest,Female
Nicaragua,Africa,Africa,2019,female_suicide,1.9,8,lowest,Female
Nigeria,Africa,Africa,2019,female_suicide,1.9,9,lowest,Female
Tunisia,Africa,Africa,2019,female_suicide,1.9,10,lowest,Female
Lesotho,Africa,Africa,2018,both_suicide,76.6,1,highest,All
Eswatini,Africa,Africa,2018,both_suicide,28.5,2,highest,All
South Africa,Africa,Africa,2018,both_suicide,24.1,3,highest,All
Botswana,Africa,Africa,2018,both_suicide,17.4,4,highest,All
Zimbabwe,Africa,Africa,2018,both_suicide,14,5,highest,All
Mozambique,Africa,Africa,2018,both_suicide,13.5,6,highest,All
Cabo Verde,Africa,Africa,2018,both_suicide,13.4,7,highest,All
Central African Rep.,Africa,Africa,2018,both_suicide,12.8,8,highest,All
Eritrea,Africa,Africa,2018,both_suicide,11.3,9,highest,All
Namibia,Africa,Africa,2018,both_suicide,9.9,10,highest,All
Sao Tome and Principe,Africa,Africa,2018,both_suicide,1.5,1,lowest,All
Algeria,Africa,Africa,2018,both_suicide,2.5,2,lowest,All
Mauritania,Africa,Africa,2018,both_suicide,3.1,3,lowest,All
Tunisia,Africa,Africa,2018,both_suicide,3.2,4,lowest,All
Nigeria,Africa,Africa,2018,both_suicide,3.5,5,lowest,All
South Sudan,Africa,Africa,2018,both_suicide,3.8,6,lowest,All
Sudan,Africa,Africa,2018,both_suicide,3.9,7,lowest,All
Mali,Africa,Africa,2018,both_suicide,4.1,8,lowest,All
Tanzania,Africa,Africa,2018,both_suicide,4.2,9,lowest,All
Liberia,Africa,Africa,2018,both_suicide,4.4,10,lowest,All
Lesotho,Africa,Africa,2018,male_suicide,124.6,1,highest,Male
Eswatini,Africa,Africa,2018,male_suicide,54.1,2,highest,Male
South Africa,Africa,Africa,2018,male_suicide,39,3,highest,Male
Botswana,Africa,Africa,2018,male_suicide,28.3,4,highest,Male
Cabo Verde,Africa,Africa,2018,male_suicide,22.2,5,highest,Male
Mozambique,Africa,Africa,2018,male_suicide,21.9,6,highest,Male
Central African Rep.,Africa,Africa,2018,male_suicide,20.4,7,highest,Male
Zimbabwe,Africa,Africa,2018,male_suicide,19.9,8,highest,Male
Eritrea,Africa,Africa,2018,male_suicide,17.2,9,highest,Male
